Prolific_ID,Dashboard Type,Match 0 Mismatch 1,Dashboard Total Score,Dashboard Efficiency Seconds per correct answer,Paper_Folding_Test_Score,PF Test Percentage,Rotation_Test_1_Total_Correct_Count,Rotation_Test_2_Total_Correct_Count,Total Rotation Test Score,RT Test Percentage,Final SA score,SA High 0 Low 1,Financial_Literacy_Score,Feedback_MentalDemand,Feedback_PhysicalDemand,Feedback_TemporalDemand,Feedback_Performance,Feedback_Effort,Feedback_Frustration,TLX Total,TLX less Physical,Demographics_Age,Demographics_Education_Level,Demographics_Work_Experience,Demographics_Management_Experience,Demographics_Employment_Sector,TIME TAKEN,BONUS,Total payment
5e3f4c676d06fc1b240e6021,Mismatch (Structural Columns),1,12,35.0,10.0,0.5,30,39,69,0.4928571428571429,0.49642857142857144,0,3,74,9,76,31,93,18,301,292,44.0,Some college,More than 10,5-10,"Transportation, Distribution and Logistics",00:34:49,0.55,4.55
58adfc6e7cf56d0001f931a2,Mismatch (Structural Columns),1,21,20.0,14.0,0.7,4,36,40,0.2857142857142857,0.4928571428571428,0,3,15,65,68,53,98,69,368,303,27.0,College diploma,1-3,3-5,Information Technology,00:51:23,1.8,5.8
670d8b142f87173ffe3b4763,Mismatch (Structural Columns),1,11,38.18181818181818,10.0,0.5,34,32,66,0.4714285714285714,0.4857142857142857,0,2,93,55,62,48,60,31,349,294,26.0,Graduate degree,5-10,1-3,Legal,00:35:39,0.6,4.6
66f75ca6c63db2214194b1cc,Mismatch (Structural Columns),1,8,52.5,12.0,0.6,28,20,48,0.34285714285714286,0.4714285714285714,0,3,70,1,82,65,85,45,348,347,54.0,College diploma,More than 10,5-10,Other,00:33:52,1.0,5.0
5fa4c21a04bc5912180291bc,Match (Structural Bars),0,15,28.0,10.0,0.5,28,33,61,0.4357142857142857,0.46785714285714286,1,3,41,3,55,41,68,42,250,247,,,,,,00:50:29,1.25,5.25
672f334ec43661aabd6e28dc,Match (Structural Bars),0,4,105.0,9.0,0.45,32,31,63,0.45,0.45,1,3,27,22,24,4,12,14,103,81,29.0,Graduate degree,5-10,1-3,"Science, Technology, Engineering and Mathematics",01:25:50,0.7,4.7
66294441f6545cc65fd7e23f,Mismatch (Structural Columns),1,14,30.0,7.0,0.35,37,38,75,0.5357142857142857,0.44285714285714284,0,2,92,60,70,47,66,55,390,330,49.0,College diploma,More than 10,5-10,Business Management and Administration,00:31:54,1.1,5.1
672e37ef780a7a1538735b65,Match (Structural Bars),0,2,210.0,5.999999999999999,0.29999999999999993,39,42,81,0.5785714285714286,0.4392857142857143,1,3,3,2,1,7,2,2,17,15,25.0,Graduate degree,3-5,3-5,"Science, Technology, Engineering and Mathematics",01:05:38,0.4,4.4
671e70010b8f04850445045f,Mismatch (Structural Columns),1,19,22.105263157894736,5.999999999999999,0.29999999999999993,41,39,80,0.5714285714285714,0.43571428571428567,0,3,100,4,96,63,100,76,439,435,29.0,Graduate degree,5-10,1-3,Medicine,00:37:15,1.3,5.3
6725eec99d93d249247afa9f,Match (Structural Bars),0,12,35.0,11.0,0.55,30,13,43,0.30714285714285716,0.4285714285714286,1,3,80,87,43,47,66,17,340,253,40.0,Graduate degree,5-10,5-10,Medicine,00:35:47,1.15,5.15
66355854d9289d700ee6efb8,Mismatch (Structural Columns),1,17,24.705882352941178,6.999999999999999,0.35,32,38,70,0.5,0.425,1,3,79,3,73,12,64,16,247,244,40.0,Graduate degree,More than 10,5-10,Education and Training,00:31:47,1.2,5.2
674bd245c8750a73d5966e55,Mismatch (Structural Columns),1,20,21.0,6.999999999999999,0.35,32,38,70,0.5,0.425,1,2,88,7,36,20,62,8,221,214,23.0,College diploma,3-5,Less than one,"Transportation, Distribution and Logistics",00:32:02,1.35,5.35
67276794b9b997dd85a42f9c,Match (Structural Bars),0,4,105.0,5.0,0.25,41,42,83,0.5928571428571429,0.42142857142857143,1,3,4,5,6,6,2,2,25,20,24.0,Graduate degree,3-5,1-3,"Science, Technology, Engineering and Mathematics",00:47:36,0.45,4.45
673c9f004222ed0a76db1ecd,Match (Structural Bars),0,9,46.666666666666664,4.0,0.2,50,39,89,0.6357142857142857,0.4178571428571428,1,1,29,38,26,77,50,35,255,217,19.0,Graduate degree,1-3,1-3,Information Technology,00:42:08,0.65,4.65
672cb06bb5a379b2b0d7730d,Mismatch (Structural Columns),1,9,46.666666666666664,5.0,0.25,44,36,80,0.5714285714285714,0.4107142857142857,1,3,86,3,21,36,18,42,206,203,31.0,Graduate degree,5-10,3-5,Information Technology,00:34:13,0.4,4.4
66f8522292767238ed42ebbd,Match (Structural Bars),0,12,35.0,11.0,0.55,17,19,36,0.2571428571428571,0.4035714285714286,1,3,100,8,100,90,100,61,459,451,33.0,Undergraduate degree,More than 10,5-10,Government and Public Administration,00:27:15,1.8,5.8
671165ce01cd9c2699b90dc1,Match (Structural Bars),0,12,35.0,6.999999999999999,0.35,29,33,62,0.44285714285714284,0.3964285714285714,1,3,69,18,66,18,100,17,288,270,33.0,Undergraduate degree,5-10,3-5,Legal,00:37:39,1.0,5.0
673ebc6af07543c21446c953,Match (Structural Bars),0,10,42.0,8.999999999999998,0.4499999999999999,18,28,46,0.32857142857142857,0.38928571428571423,1,1,34,5,29,50,55,25,198,193,32.0,Some college,More than 10,Less than one,Other,00:44:31,1.3,5.3
66c30da59470c6be1190450b,Match (Structural Bars),0,8,52.5,9.0,0.45,19,25,44,0.3142857142857143,0.3821428571428571,1,3,100,99,100,65,80,32,476,377,44.0,College diploma,5-10,1-3,Medicine,00:49:19,0.9,4.9
57b39622f67ddc0001dea5fd,Match (Structural Bars),0,13,32.30769230769231,3.0,0.15,42,42,84,0.6,0.375,1,3,82,37,53,15,69,18,274,237,27.0,Graduate degree,5-10,1-3,Finance,00:35:46,1.65,5.65
67460cbb61e0f43f89d299dd,Match (Structural Bars),0,3,140.0,4.0,0.2,46,29,75,0.5357142857142857,0.3678571428571429,1,3,52,74,30,58,84,15,313,239,30.0,Graduate degree,3-5,1-3,Information Technology,00:45:48,1.25,5.25
65e615620fd6a1c087dafc48,Match (Structural Bars),0,4,105.0,3.0,0.15,42,39,81,0.5785714285714286,0.3642857142857143,1,3,97,18,55,43,100,34,347,329,44.0,Undergraduate degree,More than 10,More than 10,Arts,00:40:28,0.35,4.35
67399d07ed1b0189b74d5232,Match (Structural Bars),0,8,52.5,3.0,0.15,45,35,80,0.5714285714285714,0.3607142857142857,1,3,64,8,36,20,51,28,207,199,38.0,Graduate degree,More than 10,5-10,Education and Training,00:35:13,1.4,5.4
656a45f50e3a147cd0cb8216,Match (Structural Bars),0,9,46.666666666666664,5.999999999999999,0.29999999999999993,31,25,56,0.4,0.35,1,3,70,26,73,44,83,48,344,318,46.0,Some college,More than 10,More than 10,Other,00:31:20,1.25,5.25
63614899ad49a91f1ef09067,Match (Structural Bars),0,13,32.30769230769231,3.0,0.15,35,38,73,0.5214285714285715,0.33571428571428574,1,3,89,58,44,8,82,47,328,270,46.0,Undergraduate degree,More than 10,More than 10,Marketing and Sales,00:28:11,1.45,5.45
6725006b1128706bbaf567d4,Match (Structural Bars),0,3,140.0,2.0,0.1,39,41,80,0.5714285714285714,0.3357142857142857,1,3,95,99,49,55,59,4,361,262,48.0,Graduate degree,5-10,5-10,Medicine,01:02:52,0.3,4.3
6725077a1282f381563e5fdd,Match (Structural Bars),0,4,105.0,6.999999999999999,0.35,18,26,44,0.3142857142857143,0.33214285714285713,1,3,64,51,71,31,79,47,343,292,,,,,,00:46:06,0.9,4.9
634696400ff1ac25ed01ad11,Match (Structural Bars),0,5,84.0,6.000000000000001,0.30000000000000004,14,33,47,0.3357142857142857,0.31785714285714284,1,3,50,78,10,3,20,29,190,112,36.0,Graduate degree,3-5,3-5,Information Technology,00:39:24,1.15,5.15
671813a64cc728d09ef7499d,Match (Structural Bars),0,4,105.0,2.0,0.1,36,36,72,0.5142857142857142,0.3071428571428571,1,2,54,56,8,23,66,0,207,151,48.0,Undergraduate degree,More than 10,5-10,Other,00:31:48,0.35,4.35
6725f5c628ac0ee83bb0aae2,Match (Structural Bars),0,5,84.0,2.0,0.1,34,32,66,0.4714285714285714,0.2857142857142857,1,3,62,63,0,72,41,0,238,175,36.0,Graduate degree,5-10,5-10,Information Technology,00:57:42,1.05,5.05
